State,LGA,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,DLA,LP,NDC,NDP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP,Polling Units
Ondo,ESE-ODO,2382,204,0,185,2382,185,0,0,0,0,0,183,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
Ondo,ILAJE,728,43,0,43,728,43,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292
Ondo,ILEOLUJI/OKEIGBO,673,51,0,51,673,51,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
Ondo,IRELE,815,142,0,141,815,141,0,0,0,0,0,128,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
Ondo,ODIGBO,360,58,2,57,360,55,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304
Ondo,OKITIPUPA,1513,174,0,174,1509,174,0,0,0,0,0,172,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
