State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,Polling Units
ENUGU,UDENU,IMILIKE,0,0,0,0,0,0,26
ENUGU,UDENU,OBOLLO-AFOR,0,0,0,0,0,0,52
ENUGU,UDENU,OBOLLO-EKE,0,0,0,0,0,0,28
ENUGU,UDENU,OBOLLO-ETITI,0,0,0,0,0,0,24
ENUGU,UDENU,OGBODU-ABA,0,0,0,0,0,0,11
ENUGU,UDENU,ORBA I,0,0,0,0,0,0,34
ENUGU,UDENU,ORBA II,0,0,0,0,0,0,41
ENUGU,UDENU,UDUNEDEM,0,0,0,0,0,0,14
ENUGU,UZO-UWANI,ABBI,0,0,0,0,0,0,11
ENUGU,UZO-UWANI,ADABA-NKUME,0,0,0,0,0,0,9
ENUGU,UZO-UWANI,ADANI,0,0,0,0,0,0,16
ENUGU,UZO-UWANI,AKPOGU,0,0,0,0,0,0,4
ENUGU,UZO-UWANI,IGGA/ASABA,0,0,0,0,0,0,7
ENUGU,UZO-UWANI,NIMBO I,0,0,0,0,0,0,11
ENUGU,UZO-UWANI,NIMBO II,0,0,0,0,0,0,10
ENUGU,UZO-UWANI,NKPOLOGU,0,0,0,0,0,0,11
ENUGU,UZO-UWANI,NROBO,0,0,0,0,0,0,5
ENUGU,UZO-UWANI,OGURUGU,0,0,0,0,0,0,8
ENUGU,UZO-UWANI,OJO,0,0,0,0,0,0,5
ENUGU,UZO-UWANI,UGBENE I,0,0,0,0,0,0,6
ENUGU,UZO-UWANI,UGBENE II,0,0,0,0,0,0,10
ENUGU,UZO-UWANI,UKPATA,0,0,0,0,0,0,7
ENUGU,UZO-UWANI,UMULOKPA,0,0,0,0,0,0,18
ENUGU,UZO-UWANI,UVURU,0,0,0,0,0,0,8
KANO,WARAWA,DANLASAN,0,0,0,0,0,0,7
KANO,WARAWA,GARIN DAU,0,0,0,0,0,0,9
KANO,WARAWA,GOGEL,0,0,0,0,0,0,7
KANO,WARAWA,IMAWA,0,0,0,0,0,0,9
KANO,WARAWA,J/GALADIMA,0,0,0,0,0,0,12
KANO,WARAWA,JEMAGU,0,0,0,0,0,0,11
KANO,WARAWA,JIGAWA,0,0,0,0,0,0,9
KANO,WARAWA,KATARKAWA,0,0,0,0,0,0,11
KANO,WARAWA,MADARI MATA,0,0,0,0,0,0,10
KANO,WARAWA,TANGAR,0,0,0,0,0,0,15
KANO,WARAWA,WARAWA,0,0,0,0,0,0,9
KANO,WARAWA,YAN DALLA,0,0,0,0,0,0,8
KANO,WARAWA,YANGIZO,0,0,0,0,0,0,10
KEBBI,ZURU,BEDI,0,0,0,0,0,0,20
KEBBI,ZURU,CIROMAN DABAI,0,0,0,0,0,0,17
KEBBI,ZURU,ISGOGO /DAGO,0,0,0,0,0,0,12
KEBBI,ZURU,MANGA/USHE,0,0,0,0,0,0,25
KEBBI,ZURU,RAFIN ZURU,0,0,0,0,0,0,47
