State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,ADC,ADP,APC,APGA,APM,NNPP,PDP,SDP,ZLP,NRM,APP,BP,PRP,YPP,Polling Units
FCT,KWALI,KUNDU,4490,1566,8,1551,4456,1541,0,0,11,1,877,0,0,1,652,0,0,0,0,0,0,0,8
FCT,KWALI,KWALI WARD,20021,6275,139,6274,20021,6116,7,6,275,667,4335,7,4,6,809,0,0,0,0,0,0,0,34
FCT,KWALI,PAI,15221,3982,129,3975,15149,3842,6,6,146,332,1868,8,3,5,1468,0,0,0,0,0,0,0,30
FCT,KWALI,WAKO,8969,3341,34,3317,8971,3283,1,0,76,723,1595,0,2,1,885,0,0,0,0,0,0,0,21
FCT,KWALI,YANGOJI,10964,4666,74,4647,11325,4586,3,1,85,414,2547,5,1,0,1510,0,0,0,0,0,0,0,20
FCT,KWALI,YEBU,5855,2494,33,2496,5844,2460,0,4,26,63,1518,2,1,0,845,0,0,0,0,0,0,0,13
FCT,MUNICIPAL,CITY CENTRE,79539,3305,69,3197,68114,3118,3,3,981,16,1605,29,9,34,189,196,11,0,1,2,9,31,151
FCT,MUNICIPAL,GARKI,112954,7597,286,7358,103994,7053,15,2,1316,36,5058,68,27,89,182,111,50,1,3,2,3,89,171
FCT,MUNICIPAL,GUI,35922,5487,365,5431,36396,5057,105,6,598,39,3516,106,8,3,562,208,6,5,6,4,4,13,60
FCT,MUNICIPAL,GWAGWA,51677,5934,228,5888,48152,5590,13,7,668,20,3761,162,32,247,317,334,23,0,0,1,0,5,82
FCT,MUNICIPAL,GWARINPA,125492,6922,258,6794,124222,6488,14,7,1921,49,3719,89,9,40,211,296,3,2,2,1,5,114,199
FCT,MUNICIPAL,JIWA,49292,5658,207,5772,49410,5373,22,4,379,40,4134,240,12,68,181,246,29,3,20,3,1,3,90
FCT,MUNICIPAL,KABUSA,92389,8621,253,8472,102898,7563,107,21,2159,119,4543,88,7,63,273,226,6,3,5,3,22,22,148
FCT,MUNICIPAL,KARSHI,16460,4054,144,4019,17265,3872,11,0,138,15,2225,10,10,1007,333,100,5,2,1,4,1,7,34
FCT,MUNICIPAL,KARU,70118,6436,231,5905,69936,5729,18,11,1284,25,3619,85,3,15,489,120,7,3,0,3,3,30,120
FCT,MUNICIPAL,NYANYA,60565,6094,173,5644,60133,5426,37,5,1039,32,3573,33,2,16,526,118,3,2,2,14,4,20,110
FCT,MUNICIPAL,OROZO,40595,5192,241,5058,39383,4819,53,4,631,74,3249,155,4,7,413,160,41,3,2,0,3,20,61
FCT,MUNICIPAL,WUSE,91350,3191,186,3659,91223,2847,5,5,1043,27,1299,43,3,29,190,122,12,0,4,0,7,57,175
