State,LGA,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,DLA,LP,NDC,NDP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP,Polling Units,INEC Uploaded Results,INEC Upload Percent
Enugu,IGBO ETITI,634,65,7,63,634,58,0,0,0,2,0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,201,163,81.1
Enugu,IGBO EZE NORTH,1638,140,4,136,1574,136,0,0,0,1,0,124,0,0,0,0,0,1,2,0,0,0,8,0,0,0,0,0,266,212,79.7
Enugu,IGBO EZE SOUTH,66,7,0,7,66,7,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,213,169,79.3
Enugu,NSUKKA,2372,230,0,228,2363,228,0,0,0,1,0,181,0,0,0,0,0,0,8,0,0,0,36,2,0,0,0,0,397,161,40.6
Enugu,UDENU,1581,235,0,233,1579,231,0,0,0,2,0,198,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,265,188,70.9
Enugu,UZO-UWANI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,14,9.6
