State,LGA,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,DLA,LP,NDC,NDP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP,Polling Units,INEC Uploaded Results,INEC Upload Percent
Kano,DAWAKI KUDU,4180,468,1,452,4180,450,0,0,0,0,0,446,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,303,303,100.0
Kano,WARAWA,3131,516,5,513,3089,508,0,0,2,0,0,503,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,143,142,99.3
