State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,DLA,LP,NDC,NDP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP,Polling Units,INEC Uploaded Results,INEC Upload Percent
Rivers,GOKANA,YEGHE I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0
Rivers,GOKANA,YEGHE II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
Rivers,KHANA,BAEN/KPEAN/DUBURO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0.0
Rivers,KHANA,BANE,1256,70,0,70,1256,70,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,68,0,0,0,0,0,14,0,0.0
Rivers,KHANA,BARGHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.0
Rivers,KHANA,BEERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0.0
Rivers,KHANA,BORI,64,23,15,8,64,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,26,0,0.0
Rivers,KHANA,BOUE,500,44,0,39,455,39,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,21,0,0.0
Rivers,KHANA,GWARA/KAA/EEKEN,136,8,0,8,136,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,25,0,0.0
Rivers,KHANA,KAANI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0.0
Rivers,KHANA,KONO/KWAWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0.0
Rivers,KHANA,LLUEKU/NYOKURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0.0
Rivers,KHANA,LORRE/LUEBE/KPAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.0
Rivers,KHANA,OKWALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
Rivers,KHANA,OPUOKO/KALAOKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0.0
Rivers,KHANA,SII/BETEM/KBAABBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0.0
Rivers,KHANA,SOGHO,835,111,2,109,835,109,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,104,0,0,0,0,0,18,0,0.0
Rivers,KHANA,TAABAA,749,51,0,51,749,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,14,0,0.0
Rivers,KHANA,UEGWERE,609,50,0,50,609,50,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,47,0,0,0,0,0,11,0,0.0
Rivers,KHANA,WIIYAA KARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.0
Rivers,KHANA,ZAAKPORI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
Rivers,OPOBO/NEKORO,DAPPAYE AMA-KIRI I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
Rivers,OPOBO/NEKORO,DAPPAYE AMA-KIRI II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0.0
Rivers,OPOBO/NEKORO,DIEPIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.0
Rivers,OPOBO/NEKORO,JAJA,870,27,0,27,870,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,28,0,0.0
Rivers,OPOBO/NEKORO,KALAIBIAMA I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0.0
Rivers,OPOBO/NEKORO,KALAIBIAMA II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.0
Rivers,OPOBO/NEKORO,NKORO I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0
Rivers,OPOBO/NEKORO,NKORO II,667,61,0,61,667,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,9,0,0.0
Rivers,OPOBO/NEKORO,NKORO III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0
Rivers,OPOBO/NEKORO,QUEENS TOWN KALAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
Rivers,OPOBO/NEKORO,UKONU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0
Rivers,OYIGBO,ASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.0
Rivers,OYIGBO,AZUOGU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0
Rivers,OYIGBO,EGBURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0.0
Rivers,OYIGBO,KOMKOM,750,11,0,9,750,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,31,0,0.0
Rivers,OYIGBO,OBEAKPU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0.0
Rivers,OYIGBO,OBETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0
