Election ID,LGA,Ward,Ward ID,Error
6a35ca5181ddfe01b36faefd,ELEME,EKPORO,5f0f3ed18f77bb3acad0ac52,522 Server Error: <none> for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35ca5181ddfe01b36faefd/pus?ward=5f0f3ed18f77bb3acad0ac52
6a35ca5181ddfe01b36faefd,ELEME,ALESA,5f0f3ecf8f77bb3acad0ac4e,522 Server Error: <none> for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35ca5181ddfe01b36faefd/pus?ward=5f0f3ecf8f77bb3acad0ac4e
6a35ca5181ddfe01b36faefd,ANDONI,EKEDE,5f0f3ec78f77bb3acad0ac1c,522 Server Error: <none> for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35ca5181ddfe01b36faefd/pus?ward=5f0f3ec78f77bb3acad0ac1c
