State,LGA,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,DLA,LP,NDC,NDP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP,Polling Units,INEC Uploaded Results,INEC Upload Percent
Rivers,ANDONI,2428,103,1,102,2428,101,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,265,162,61.1
Rivers,ELEME,1953,97,1,96,1952,95,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,233,170,73.0
Rivers,GOKANA,2174,175,12,171,2174,163,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,0,151,0,0,0,0,0,260,244,93.8
Rivers,KHANA,4149,357,17,335,4104,335,0,5,0,0,0,11,0,0,0,0,0,4,0,0,0,0,315,0,0,0,0,0,359,300,83.6
Rivers,OPOBO/NEKORO,1537,88,0,88,1537,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,27,0,0,0,0,154,124,80.5
Rivers,OYIGBO,825,55,0,21,825,21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,217,183,84.3
Rivers,TAI,1672,220,1,220,1672,219,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,141,130,92.2
