State,LGA,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,DLA,LP,NDC,NDP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP,Polling Units,INEC Uploaded Results,INEC Upload Percent
Nasarawa,AKWANGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,104,50.5
Nasarawa,NASARAWA EGGON,176,87,0,83,176,83,0,0,0,4,0,55,0,0,0,0,0,14,1,0,0,0,9,0,0,0,0,0,255,66,25.9
Nasarawa,WAMBA,1574,215,6,215,1573,209,0,0,0,11,0,132,0,0,0,0,0,22,13,0,2,0,29,0,0,0,0,0,122,49,40.2
